shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 2000000
 test_time == 19.810894
 Throughput == 100954.555610
 ======================================
20        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets       100948.04          ---          ---      0.19700    105767.48 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals     100948.04         0.00         0.00      0.19700    105767.48 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.032         0.00
SET       0.039         0.00
SET       0.040         0.00
SET       0.041         0.00
SET       0.042         0.00
SET       0.043         0.00
SET       0.045         0.00
SET       0.047         0.00
SET       0.048         0.00
SET       0.050         0.00
SET       0.052         0.00
SET       0.053         0.00
SET       0.054         0.00
SET       0.055         0.00
SET       0.057         0.00
SET       0.064         0.00
SET       0.065         0.00
SET       0.069         0.00
SET       0.070         0.00
SET       0.071         0.00
SET       0.072         0.00
SET       0.073         0.00
SET       0.074         0.00
SET       0.075         0.00
SET       0.076         0.00
SET       0.077         0.00
SET       0.079         0.00
SET       0.080         0.00
SET       0.082         0.00
SET       0.083         0.00
SET       0.085         0.00
SET       0.086         0.00
SET       0.087         0.00
SET       0.088         0.00
SET       0.089         0.00
SET       0.090         0.00
SET       0.091         0.00
SET       0.092         0.01
SET       0.093         0.01
SET       0.094         0.01
SET       0.095         0.01
SET       0.096         0.01
SET       0.097         0.01
SET       0.098         0.01
SET       0.099         0.01
SET       0.100         0.01
SET       0.110         0.01
SET       0.120         0.01
SET       0.130         0.01
SET       0.140         0.02
SET       0.150         0.02
SET       0.160         0.05
SET       0.170         0.47
SET       0.180        17.76
SET       0.190        61.93
SET       0.200        80.73
SET       0.210        88.96
SET       0.220        92.59
SET       0.230        93.99
SET       0.240        95.10
SET       0.250        97.52
SET       0.260        98.93
SET       0.270        99.60
SET       0.280        99.81
SET       0.290        99.88
SET       0.300        99.91
SET       0.310        99.92
SET       0.320        99.93
SET       0.330        99.94
SET       0.340        99.94
SET       0.350        99.94
SET       0.360        99.94
SET       0.370        99.95
SET       0.380        99.96
SET       0.390        99.97
SET       0.400        99.97
SET       0.410        99.97
SET       0.420        99.97
SET       0.430        99.97
SET       0.440        99.97
SET       0.450        99.97
SET       0.460        99.97
SET       0.470        99.97
SET       0.500        99.97
SET       0.510        99.97
SET       0.520        99.97
SET       0.530        99.97
SET       0.540        99.97
SET       0.550        99.97
SET       0.560        99.97
SET       0.580        99.97
SET       0.590        99.97
SET       0.600        99.97
SET       0.630        99.97
SET       0.670        99.97
SET       0.680        99.97
SET       0.690        99.97
SET       0.700        99.97
SET       0.710        99.97
SET       0.720        99.97
SET       0.740        99.97
SET       0.800        99.98
SET       0.810        99.98
SET       0.820        99.98
SET       0.850        99.98
SET       0.860        99.98
SET       0.900        99.98
SET       0.910        99.98
SET       0.960        99.98
SET       0.970        99.98
SET       0.980        99.98
SET       0.990        99.98
SET       1.000        99.98
SET       1.100        99.99
SET       1.200        99.99
SET       1.300        99.99
SET       1.400        99.99
SET       1.600        99.99
SET       1.700        99.99
SET       1.800        99.99
SET       2.000        99.99
SET       2.100        99.99
SET       2.200       100.00
SET       2.300       100.00
SET       2.400       100.00
SET       2.500       100.00
SET       2.600       100.00
---
---
