shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1500000
 test_time == 11.229196
 Throughput == 133580.356065
 ======================================
15        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets            0.00          ---          ---      0.00000         0.00 
Gets       133820.58    133820.58         0.00      0.11100    139556.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals     133820.58    133820.58         0.00      0.11100    139556.00 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.012         0.00
GET       0.013         0.00
GET       0.014         0.00
GET       0.015         0.00
GET       0.016         0.01
GET       0.017         0.02
GET       0.018         0.02
GET       0.019         0.02
GET       0.020         0.02
GET       0.021         0.02
GET       0.022         0.02
GET       0.023         0.02
GET       0.024         0.02
GET       0.025         0.03
GET       0.026         0.03
GET       0.027         0.03
GET       0.028         0.03
GET       0.029         0.03
GET       0.030         0.04
GET       0.031         0.04
GET       0.032         0.05
GET       0.033         0.05
GET       0.034         0.06
GET       0.035         0.07
GET       0.036         0.08
GET       0.037         0.10
GET       0.038         0.11
GET       0.039         0.12
GET       0.040         0.12
GET       0.041         0.12
GET       0.042         0.13
GET       0.043         0.13
GET       0.044         0.14
GET       0.045         0.15
GET       0.046         0.16
GET       0.047         0.17
GET       0.048         0.18
GET       0.049         0.18
GET       0.050         0.18
GET       0.051         0.19
GET       0.052         0.19
GET       0.053         0.20
GET       0.054         0.21
GET       0.055         0.21
GET       0.056         0.22
GET       0.057         0.23
GET       0.058         0.23
GET       0.059         0.23
GET       0.060         0.23
GET       0.061         0.24
GET       0.062         0.24
GET       0.063         0.24
GET       0.064         0.25
GET       0.065         0.25
GET       0.066         0.25
GET       0.067         0.25
GET       0.068         0.26
GET       0.069         0.26
GET       0.070         0.27
GET       0.071         0.28
GET       0.072         0.28
GET       0.073         0.29
GET       0.074         0.29
GET       0.075         0.30
GET       0.076         0.30
GET       0.077         0.31
GET       0.078         0.31
GET       0.079         0.32
GET       0.080         0.32
GET       0.081         0.33
GET       0.082         0.35
GET       0.083         0.37
GET       0.084         0.41
GET       0.085         0.48
GET       0.086         0.62
GET       0.087         0.85
GET       0.088         1.12
GET       0.089         1.43
GET       0.090         2.00
GET       0.091         2.98
GET       0.092         4.31
GET       0.093         5.58
GET       0.094         6.76
GET       0.095         8.06
GET       0.096         9.79
GET       0.097        12.14
GET       0.098        15.15
GET       0.099        18.66
GET       0.100        43.56
GET       0.110        74.10
GET       0.120        85.06
GET       0.130        91.91
GET       0.140        95.48
GET       0.150        96.81
GET       0.160        97.23
GET       0.170        97.47
GET       0.180        97.76
GET       0.190        98.48
GET       0.200        99.28
GET       0.210        99.69
GET       0.220        99.85
GET       0.230        99.91
GET       0.240        99.94
GET       0.250        99.97
GET       0.260        99.98
GET       0.270        99.98
GET       0.280        99.99
GET       0.290        99.99
GET       0.300        99.99
GET       0.310        99.99
GET       0.320        99.99
GET       0.330        99.99
GET       0.340        99.99
GET       0.350        99.99
GET       0.360        99.99
GET       0.370        99.99
GET       0.380        99.99
GET       0.390        99.99
GET       0.400        99.99
GET       0.410        99.99
GET       0.420        99.99
GET       0.430        99.99
GET       0.440        99.99
GET       0.460        99.99
GET       1.700       100.00
GET       1.800       100.00
GET       1.900       100.00
GET       2.100       100.00
GET       2.200       100.00
GET       2.300       100.00
GET       2.400       100.00
GET       2.600       100.00
GET       2.700       100.00
GET       2.800       100.00
GET       2.900       100.00
GET       4.100       100.00
---
