shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1000000
 test_time == 9.779969
 Throughput == 102249.812857
 ======================================
10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets       101500.83          ---          ---      0.09600      7819.49 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals     101500.83         0.00         0.00      0.09600      7819.49 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023         0.00
SET       0.024         0.00
SET       0.025         0.02
SET       0.026         0.03
SET       0.027         0.03
SET       0.028         0.05
SET       0.029         0.13
SET       0.030         0.26
SET       0.031         0.32
SET       0.032         0.34
SET       0.033         0.35
SET       0.034         0.35
SET       0.035         0.36
SET       0.036         0.39
SET       0.037         0.44
SET       0.038         0.52
SET       0.039         0.57
SET       0.040         0.61
SET       0.041         0.64
SET       0.042         0.67
SET       0.043         0.70
SET       0.044         0.74
SET       0.045         0.77
SET       0.046         0.81
SET       0.047         0.85
SET       0.048         0.88
SET       0.049         0.92
SET       0.050         0.95
SET       0.051         0.99
SET       0.052         1.02
SET       0.053         1.06
SET       0.054         1.09
SET       0.055         1.12
SET       0.056         1.15
SET       0.057         1.19
SET       0.058         1.24
SET       0.059         1.29
SET       0.060         1.33
SET       0.061         1.38
SET       0.062         1.44
SET       0.063         1.49
SET       0.064         1.55
SET       0.065         1.61
SET       0.066         1.69
SET       0.067         1.79
SET       0.068         1.93
SET       0.069         2.15
SET       0.070         2.44
SET       0.071         2.89
SET       0.072         3.58
SET       0.073         4.51
SET       0.074         5.77
SET       0.075         7.48
SET       0.076         9.59
SET       0.077        11.96
SET       0.078        14.56
SET       0.079        17.42
SET       0.080        20.45
SET       0.081        23.58
SET       0.082        26.60
SET       0.083        29.54
SET       0.084        32.55
SET       0.085        35.48
SET       0.086        38.29
SET       0.087        40.84
SET       0.088        43.18
SET       0.089        45.33
SET       0.090        47.31
SET       0.091        49.24
SET       0.092        51.13
SET       0.093        52.98
SET       0.094        54.82
SET       0.095        56.67
SET       0.096        58.46
SET       0.097        60.16
SET       0.098        61.78
SET       0.099        63.32
SET       0.100        70.26
SET       0.110        82.93
SET       0.120        92.29
SET       0.130        96.49
SET       0.140        98.50
SET       0.150        99.23
SET       0.160        99.56
SET       0.170        99.71
SET       0.180        99.79
SET       0.190        99.83
SET       0.200        99.85
SET       0.210        99.88
SET       0.220        99.90
SET       0.230        99.91
SET       0.240        99.93
SET       0.250        99.94
SET       0.260        99.95
SET       0.270        99.96
SET       0.280        99.97
SET       0.290        99.97
SET       0.300        99.97
SET       0.310        99.98
SET       0.320        99.98
SET       0.330        99.98
SET       0.340        99.99
SET       0.350        99.99
SET       0.360        99.99
SET       0.370        99.99
SET       0.380        99.99
SET       0.390        99.99
SET       0.400        99.99
SET       0.410        99.99
SET       0.420        99.99
SET       0.440        99.99
SET       0.450        99.99
SET       0.460        99.99
SET       0.490        99.99
SET       0.510        99.99
SET       0.520        99.99
SET       0.530       100.00
SET       0.540       100.00
SET       0.550       100.00
SET       0.560       100.00
SET       0.580       100.00
SET       0.590       100.00
SET       0.620       100.00
SET       0.630       100.00
SET       0.660       100.00
SET       0.680       100.00
SET       0.690       100.00
SET       0.700       100.00
SET       0.740       100.00
SET       0.760       100.00
SET       0.770       100.00
SET       0.790       100.00
SET       0.940       100.00
SET       0.950       100.00
SET       0.960       100.00
SET       0.970       100.00
SET       0.980       100.00
SET       1.000       100.00
SET       3.100       100.00
SET       3.200       100.00
SET       3.300       100.00
---
---
