shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1000000
 test_time == 12.701808
 Throughput == 78728.949453
 ======================================
10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        80112.74          ---          ---      0.12500     83937.47 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      80112.74         0.00         0.00      0.12500     83937.47 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.026         0.00
SET       0.027         0.00
SET       0.028         0.01
SET       0.029         0.02
SET       0.030         0.04
SET       0.031         0.05
SET       0.032         0.07
SET       0.033         0.08
SET       0.034         0.09
SET       0.035         0.11
SET       0.036         0.12
SET       0.037         0.14
SET       0.038         0.17
SET       0.039         0.28
SET       0.040         0.45
SET       0.041         0.62
SET       0.042         0.73
SET       0.043         0.81
SET       0.044         0.86
SET       0.045         0.90
SET       0.046         0.95
SET       0.047         1.00
SET       0.048         1.06
SET       0.049         1.12
SET       0.050         1.19
SET       0.051         1.27
SET       0.052         1.41
SET       0.053         1.61
SET       0.054         1.80
SET       0.055         1.95
SET       0.056         2.06
SET       0.057         2.14
SET       0.058         2.19
SET       0.059         2.25
SET       0.060         2.30
SET       0.061         2.36
SET       0.062         2.43
SET       0.063         2.50
SET       0.064         2.57
SET       0.065         2.63
SET       0.066         2.70
SET       0.067         2.78
SET       0.068         2.86
SET       0.069         2.94
SET       0.070         3.02
SET       0.071         3.09
SET       0.072         3.16
SET       0.073         3.22
SET       0.074         3.28
SET       0.075         3.33
SET       0.076         3.40
SET       0.077         3.49
SET       0.078         3.62
SET       0.079         3.81
SET       0.080         4.09
SET       0.081         4.44
SET       0.082         4.86
SET       0.083         5.39
SET       0.084         6.03
SET       0.085         6.84
SET       0.086         7.87
SET       0.087         9.12
SET       0.088        10.67
SET       0.089        12.51
SET       0.090        14.61
SET       0.091        16.95
SET       0.092        19.46
SET       0.093        21.99
SET       0.094        24.54
SET       0.095        27.04
SET       0.096        29.43
SET       0.097        31.72
SET       0.098        33.81
SET       0.099        35.77
SET       0.100        43.54
SET       0.110        56.74
SET       0.120        68.13
SET       0.130        79.08
SET       0.140        88.74
SET       0.150        94.15
SET       0.160        97.09
SET       0.170        98.66
SET       0.180        99.35
SET       0.190        99.62
SET       0.200        99.75
SET       0.210        99.81
SET       0.220        99.84
SET       0.230        99.85
SET       0.240        99.86
SET       0.250        99.87
SET       0.260        99.88
SET       0.270        99.88
SET       0.280        99.89
SET       0.290        99.90
SET       0.300        99.90
SET       0.310        99.91
SET       0.320        99.91
SET       0.330        99.91
SET       0.340        99.92
SET       0.350        99.92
SET       0.360        99.92
SET       0.370        99.92
SET       0.380        99.92
SET       0.390        99.92
SET       0.400        99.92
SET       0.410        99.92
SET       0.420        99.93
SET       0.430        99.93
SET       0.440        99.93
SET       0.450        99.93
SET       0.460        99.93
SET       0.470        99.93
SET       0.480        99.93
SET       0.490        99.93
SET       0.500        99.93
SET       0.510        99.93
SET       0.520        99.93
SET       0.530        99.93
SET       0.540        99.93
SET       0.550        99.93
SET       0.560        99.93
SET       0.570        99.93
SET       0.580        99.93
SET       0.590        99.93
SET       0.600        99.93
SET       0.610        99.93
SET       0.620        99.94
SET       0.630        99.94
SET       0.640        99.94
SET       0.650        99.94
SET       0.660        99.94
SET       0.670        99.94
SET       0.680        99.94
SET       0.690        99.94
SET       0.700        99.94
SET       0.710        99.94
SET       0.720        99.94
SET       0.730        99.94
SET       0.740        99.94
SET       0.750        99.94
SET       0.760        99.94
SET       0.770        99.94
SET       0.780        99.94
SET       0.790        99.94
SET       0.800        99.94
SET       0.810        99.94
SET       0.820        99.95
SET       0.830        99.95
SET       0.840        99.95
SET       0.850        99.95
SET       0.860        99.95
SET       0.870        99.95
SET       0.880        99.95
SET       0.900        99.95
SET       0.920        99.95
SET       0.930        99.95
SET       0.940        99.95
SET       0.950        99.95
SET       0.960        99.95
SET       0.970        99.95
SET       0.980        99.95
SET       0.990        99.95
SET       1.000        99.95
SET       1.100        99.95
SET       1.200        99.96
SET       1.400        99.96
SET       1.500        99.96
SET       1.600        99.96
SET       1.700        99.96
SET       2.100        99.96
SET       2.200        99.96
SET       2.400        99.96
SET       2.500        99.96
SET       3.200        99.96
SET       3.300        99.96
SET       3.400        99.96
SET       3.500        99.96
SET       3.600        99.96
SET       4.100        99.96
SET       4.200        99.97
SET       4.300        99.97
SET       4.400        99.97
SET       4.500        99.97
SET       4.900        99.97
SET       5.000        99.97
