shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1500000
 test_time == 14.209058
 Throughput == 105566.463308
 ======================================
15        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets            0.00          ---          ---      0.00000         0.00 
Gets       106390.98    106390.98         0.00      0.13900    110950.79 
Waits           0.00          ---          ---      0.00000          --- 
Totals     106390.98    106390.98         0.00      0.13900    110950.79 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.027         0.00
GET       0.028         0.00
GET       0.029         0.01
GET       0.030         0.01
GET       0.031         0.01
GET       0.032         0.01
GET       0.033         0.02
GET       0.034         0.02
GET       0.035         0.03
GET       0.036         0.04
GET       0.037         0.05
GET       0.038         0.05
GET       0.039         0.05
GET       0.040         0.05
GET       0.041         0.05
GET       0.042         0.05
GET       0.043         0.05
GET       0.044         0.06
GET       0.045         0.06
GET       0.046         0.06
GET       0.047         0.06
GET       0.048         0.07
GET       0.049         0.08
GET       0.050         0.09
GET       0.051         0.10
GET       0.052         0.11
GET       0.053         0.11
GET       0.054         0.11
GET       0.055         0.11
GET       0.056         0.12
GET       0.057         0.12
GET       0.058         0.12
GET       0.059         0.13
GET       0.060         0.14
GET       0.061         0.15
GET       0.062         0.16
GET       0.063         0.16
GET       0.064         0.17
GET       0.065         0.18
GET       0.066         0.18
GET       0.067         0.19
GET       0.068         0.19
GET       0.069         0.19
GET       0.070         0.19
GET       0.071         0.20
GET       0.072         0.20
GET       0.073         0.21
GET       0.074         0.21
GET       0.075         0.22
GET       0.076         0.24
GET       0.077         0.24
GET       0.078         0.25
GET       0.079         0.26
GET       0.080         0.27
GET       0.081         0.28
GET       0.082         0.29
GET       0.083         0.30
GET       0.084         0.32
GET       0.085         0.34
GET       0.086         0.36
GET       0.087         0.38
GET       0.088         0.40
GET       0.089         0.42
GET       0.090         0.45
GET       0.091         0.47
GET       0.092         0.51
GET       0.093         0.56
GET       0.094         0.61
GET       0.095         0.68
GET       0.096         0.77
GET       0.097         0.89
GET       0.098         1.06
GET       0.099         1.33
GET       0.100         3.54
GET       0.110         6.93
GET       0.120        17.54
GET       0.130        51.11
GET       0.140        73.82
GET       0.150        80.57
GET       0.160        86.43
GET       0.170        92.03
GET       0.180        96.06
GET       0.190        97.42
GET       0.200        97.61
GET       0.210        97.73
GET       0.220        98.00
GET       0.230        98.59
GET       0.240        99.33
GET       0.250        99.82
GET       0.260        99.94
GET       0.270        99.96
GET       0.280        99.96
GET       0.290        99.96
GET       0.300        99.97
GET       0.310        99.97
GET       0.320        99.98
GET       0.330        99.98
GET       0.340        99.99
GET       0.350        99.99
GET       0.360        99.99
GET       0.370        99.99
GET       0.380        99.99
GET       0.390        99.99
GET       0.400        99.99
GET       0.410        99.99
GET       0.420        99.99
GET       0.430        99.99
GET       0.440        99.99
GET       0.450       100.00
GET       0.460       100.00
GET       0.470       100.00
GET       0.480       100.00
GET       0.490       100.00
GET       0.510       100.00
GET       0.530       100.00
GET       0.540       100.00
GET       0.550       100.00
GET       0.560       100.00
GET       0.570       100.00
GET       0.580       100.00
GET       0.590       100.00
GET       0.600       100.00
GET       0.610       100.00
GET       0.620       100.00
GET       0.630       100.00
GET       0.640       100.00
GET       0.650       100.00
GET       0.660       100.00
GET       0.670       100.00
GET       0.680       100.00
GET       0.700       100.00
GET       0.710       100.00
GET       0.780       100.00
GET       0.820       100.00
GET       0.970       100.00
---
