shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 2000000
 test_time == 25.569600
 Throughput == 78217.883737
 ======================================
20        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        78395.83          ---          ---      0.25200     82138.59 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      78395.83         0.00         0.00      0.25200     82138.59 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.027         0.00
SET       0.029         0.00
SET       0.030         0.00
SET       0.031         0.00
SET       0.032         0.00
SET       0.033         0.00
SET       0.034         0.00
SET       0.035         0.00
SET       0.036         0.01
SET       0.037         0.01
SET       0.038         0.01
SET       0.039         0.02
SET       0.040         0.02
SET       0.041         0.02
SET       0.042         0.02
SET       0.043         0.02
SET       0.044         0.02
SET       0.045         0.02
SET       0.046         0.02
SET       0.047         0.02
SET       0.048         0.02
SET       0.049         0.02
SET       0.050         0.02
SET       0.051         0.02
SET       0.052         0.02
SET       0.053         0.02
SET       0.054         0.02
SET       0.055         0.02
SET       0.056         0.02
SET       0.057         0.02
SET       0.058         0.02
SET       0.059         0.02
SET       0.060         0.03
SET       0.061         0.03
SET       0.062         0.03
SET       0.063         0.03
SET       0.064         0.03
SET       0.065         0.03
SET       0.066         0.03
SET       0.067         0.03
SET       0.068         0.03
SET       0.069         0.03
SET       0.070         0.03
SET       0.071         0.03
SET       0.072         0.03
SET       0.073         0.03
SET       0.074         0.03
SET       0.075         0.03
SET       0.076         0.03
SET       0.077         0.03
SET       0.078         0.03
SET       0.079         0.03
SET       0.080         0.03
SET       0.081         0.04
SET       0.082         0.04
SET       0.083         0.04
SET       0.084         0.04
SET       0.085         0.04
SET       0.086         0.04
SET       0.087         0.04
SET       0.088         0.04
SET       0.089         0.04
SET       0.090         0.05
SET       0.091         0.05
SET       0.092         0.05
SET       0.093         0.05
SET       0.094         0.05
SET       0.095         0.05
SET       0.096         0.05
SET       0.097         0.05
SET       0.098         0.05
SET       0.099         0.06
SET       0.100         0.07
SET       0.110         0.09
SET       0.120         0.10
SET       0.130         0.12
SET       0.140         0.17
SET       0.150         0.48
SET       0.160         2.05
SET       0.170         4.46
SET       0.180         8.43
SET       0.190        21.13
SET       0.200        42.02
SET       0.210        57.24
SET       0.220        65.28
SET       0.230        70.13
SET       0.240        73.80
SET       0.250        77.39
SET       0.260        81.14
SET       0.270        84.90
SET       0.280        88.49
SET       0.290        91.41
SET       0.300        93.53
SET       0.310        94.96
SET       0.320        95.89
SET       0.330        96.52
SET       0.340        96.99
SET       0.350        97.45
SET       0.360        97.93
SET       0.370        98.43
SET       0.380        98.84
SET       0.390        99.15
SET       0.400        99.36
SET       0.410        99.50
SET       0.420        99.60
SET       0.430        99.66
SET       0.440        99.70
SET       0.450        99.73
SET       0.460        99.75
SET       0.470        99.76
SET       0.480        99.77
SET       0.490        99.78
SET       0.500        99.79
SET       0.510        99.80
SET       0.520        99.80
SET       0.530        99.81
SET       0.540        99.81
SET       0.550        99.82
SET       0.560        99.82
SET       0.570        99.83
SET       0.580        99.83
SET       0.590        99.83
SET       0.600        99.84
SET       0.610        99.84
SET       0.620        99.84
SET       0.630        99.84
SET       0.640        99.85
SET       0.650        99.85
SET       0.660        99.85
SET       0.670        99.85
SET       0.680        99.85
SET       0.690        99.85
SET       0.700        99.86
SET       0.710        99.86
SET       0.720        99.86
SET       0.730        99.86
SET       0.740        99.86
SET       0.750        99.87
SET       0.760        99.87
SET       0.770        99.87
SET       0.780        99.87
SET       0.790        99.87
SET       0.800        99.87
SET       0.810        99.87
SET       0.820        99.88
SET       0.830        99.88
SET       0.840        99.88
SET       0.850        99.88
SET       0.860        99.88
SET       0.870        99.88
SET       0.880        99.88
SET       0.890        99.88
SET       0.900        99.88
SET       0.910        99.89
SET       0.920        99.89
SET       0.930        99.89
SET       0.940        99.89
SET       0.950        99.89
SET       0.960        99.89
SET       0.970        99.89
SET       0.980        99.89
SET       0.990        99.89
SET       1.000        99.90
SET       1.100        99.90
SET       1.200        99.90
SET       1.300        99.91
SET       1.400        99.91
SET       1.500        99.91
SET       1.600        99.91
SET       1.700        99.91
SET       1.800        99.92
SET       1.900        99.92
SET       2.000        99.92
SET       2.100        99.92
SET       2.200        99.92
SET       2.300        99.93
SET       2.400        99.93
SET       2.600        99.93
SET       2.700        99.93
SET       2.800        99.93
SET       2.900        99.93
SET       3.000        99.93
SET       3.100        99.93
SET       3.200        99.93
SET       3.300        99.93
SET       3.400        99.93
SET       3.500        99.93
SET       3.600        99.93
SET       3.700        99.94
SET       3.800        99.94
SET       3.900        99.94
SET       4.000        99.94
SET       4.200        99.94
SET       4.300        99.94
SET       4.400        99.94
SET       4.500        99.94
SET       4.600        99.94
SET       4.700        99.94
SET       4.800        99.94
SET       4.900        99.94
SET       5.000        99.94
SET       5.100        99.94
SET       6.000        99.94
SET       6.100        99.94
SET       6.300        99.94
SET       6.400        99.94
SET       6.500        99.94
SET       6.600        99.94
SET       6.700        99.94
SET       6.800        99.95
SET       6.900        99.95
SET       7.000        99.95
SET       7.200        99.95
SET       7.300        99.95
SET       7.400        99.95
SET       7.500        99.95
SET       7.600        99.95
SET       7.700        99.95
SET       7.800        99.95
SET       7.900        99.95
SET       8.000        99.95
SET       8.100        99.95
SET       8.200        99.95
SET       8.400        99.95
SET       8.500        99.95
SET       9.100        99.95
SET       9.200        99.95
SET       9.300        99.96
SET       9.700        99.96
SET       9.800        99.96
SET       9.900        99.96
SET      10.000        99.96
SET      11.000        99.96
SET      12.000        99.96
SET      15.000        99.96
SET      16.000        99.96
SET      17.000        99.96
SET      18.000        99.97
SET      19.000        99.97
SET      20.000        99.97
SET      21.000        99.97
SET      22.000        99.98
SET      23.000        99.98
SET      24.000        99.98
SET      25.000        99.98
SET      27.000        99.98
SET      28.000        99.98
SET      31.000        99.98
SET      32.000        99.98
SET      33.000        99.98
SET      34.000        99.98
SET      38.000        99.99
SET      39.000        99.99
SET      41.000        99.99
SET      43.000        99.99
SET      44.000        99.99
SET      60.000        99.99
SET      63.000        99.99
SET      64.000        99.99
SET     120.000       100.00
SET     160.000       100.00
SET     240.000       100.00
SET     250.000       100.00
SET     330.000       100.00
SET     360.000       100.00
---
---
